class,requirement,RequirementText
F,The realtor shall be able to retrieve a map showing property locations for a specified area,realtor shall able retrieve map showing property location specified area
F,The system shall notify the realtor when a seller or buyer responds to an appointment request,system shall notify realtor seller buyer responds appointment request
F,The product shall allow the user to save the property search results.,product shall allow user save property search result
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,system shall easy use program administrator nursing staff member
US,All of the users shall be able to use the system after one day of training.,user shall able use system one day training
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,system shall help user avoid making mistake scheduling class clinicals nursing student
US,The number of mistakes noted by the students shall be decreased by 50% in the first year.,number mistake noted student shall decreased first year
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,system shall intuitive program administrator nursing staff member
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,program administrator nursing staff member shall successfully able use system manage scheduling class clinicals
US,The system shall use symbols and words that are naturally understandable by the user community.,system shall use symbol word naturally understandable user community
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,verbiage used within system shall consistent standard english terminology national nursing community
PE,Staff members shall be able to complete a set of tasks in a timely manner.,staff member shall able complete set task timely manner
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,response time general student management task shall take longer second response time schedule generation shall take longer second
A,The system shall be available for use between the hours of 8am and 6pm.,system shall available use hour pm
O,The system shall operate within the Windows XP Professional operating system.,system shall operate within window xp professional operating system
O,The system shall interface with CampusConnect s central server,system shall interface campusconnect central server
O,The system shall interface with the faculty central server.,system shall interface faculty central server
O,The system shall interface with the student master server.,system shall interface student master server
O,We must be able to interface with any HTML browser.,must able interface html browser
SE,Only authorized users shall have access to clinical site information.,authorized user shall access clinical site information
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,program administrator nursing staff member people shall access clinical site detail
SE,Only authorized users shall have access to students  personal information.,authorized user shall access student personal information
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students  personal information.,dr susan poslusny dr julie donalek people shall access student personal information
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,authorized user shall access portion system interface campusconnect
SE,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,system shall basic data integrity checking reduce possibility incorrect invalid data introduced
SE,The system shall protect private information in accordance with the organization s information policy.,system shall protect private information accordance organization information policy
SE,The system shall be built such that it is as secure as possible from malicious interference.,system shall built secure possible malicious interference
SE,The system shall use the organization s standard virus protection software to help monitor threats to itself.,system shall use organization standard virus protection software help monitor threat
F,A cohort shall be associated to one Program of Study offered by the department.,cohort shall associated one program study offered department
F,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,program administrator nursing staff member shall able add listing student cohort
F,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,program administrator nursing staff member shall able add single student cohort
F,Students added to a cohort shall be eligible for the cohort s Program of Study.,student added cohort shall eligible cohort program study
F,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,program administrator nursing staff member shall able specify preferred sequence class given cohort
F, For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered
F, For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered
F,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,program administrator nursing staff member shall able add new class sequence class
MN,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,application update shall occur cst wednesday morning middle nfl season
MN,New System version releases shall be released at the beginning of each NFL season.,new system version release shall released beginning nfl season
F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,system shall display data sync matrix exercise management tool application
F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,system shall link event back either sync matrix exercise managment tool application modification
F,The system shall allow modification of the display.,system shall allow modification display
F,The system shall offer a display of all the Events in the exercise.,system shall offer display event exercise
F,The system shall filter data by: Venues and Key Events.,system shall filter data venue key event
F,The system shall allow a user to define the time segments,system shall allow user define time segment
F,The system shall display the local and exercise time in separate clocks,system shall display local exercise time separate clock
F,The system shall offer the ability to pause and resume the refresh of data.,system shall offer ability pause resume refresh data
F,The system shall provide charts for the Activity or Event actual versus assumed time.,system shall provide chart activity event actual versus assumed time
A,The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,rf system available especially budgeting period rf system shall available time year budgeting period time system become available within hour time situation reported
O,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space mb
O,98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,user workstation shall meet minimum software requirement prior implementation microsoft internet explorer microsoft net framework microsoft internet explorer web control
O,"""The RFS system should be able to easily interface with the BDW environment  in order to load the data.  	7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.""",rf system able easily interface bdw environment order load data data file shall received bdw loaded rf system within hour one day prior start budgeting process every year data october month end test file shall loaded time throughout year bdw
MN,Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.,change revenue expense formula must applied rf system every year prior budgeting process start revenue expense formula updated within one week receipt week allotted testing budget calculation conducted jointly project development team pcg finance
MN,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,new branch complex district region revenue expense account added bdw must reflected rf system entity mentioned available october month end loaded rf system prior budget start process
SE,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role
LF,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,product must comply intranet page standard requirement enet security product look feel approved architecture group prior implementation remaining corrected approved within one month product release
LF,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,intranet page display appropriately resolution x higher display page correct resolution prior implementation remaining corrected within week notification incorrect display
US,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,user able easily use system successfully complete budget within stipulated time completion week training prior product implementation user shall complete budget within stipulated time
PE,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,product interface fast response time product interface exceed second time time response time second second
F,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,system use stored e mail address primary mean communicating information affected party
F, The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule shall
F, The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation
F, The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter
PE, The system will refresh the display every 60 seconds.,system refresh display every second
LF, The application shall match the color schema set forth by the Department of Homeland Security.,application shall match color schema set forth department homeland security
US," If projected, the data must be legible. On a 10x10 projection screen, 90% of viewers must be able to read Event/Activity information from a viewing distance of 30 feet.",projected data must legible x projection screen viewer must able read event activity information viewing distance foot
A," The product will be available during normal business hours, ensuring 99% system availability during the first six months as long as the user has access to the client PC.",product available normal business hour ensuring system availability first six month long user access client pc
US," If projected, the data must be comprehensible. On a 10x10 projection screen, 90% of viewers should be able to determine that Events or Activities are happening in real time from a viewing distance of 100 feet.",projected data must comprehensible x projection screen viewer able determine event activity happening real time viewing distance foot
SE," The product shall only be accessible by authorized users, distinguishing between authorized and unauthorized users during every access attempt.",product shall accessible authorized user distinguishing authorized unauthorized user every access attempt
US, The product will be intuitive and easy to use. 90% of new users should be able to initiate the display of Events or Activities within 90 minutes of using the product.,product intuitive easy use new user able initiate display event activity within minute using product
PE, The system shall provide fast response times to ensure up-to-date data on the display.,system shall provide fast response time ensure date data display
F, The system shall provide an MDI form that allows users to view both the graph and the data table simultaneously.,system shall provide mdi form allows user view graph data table simultaneously
F, Events will be displayed vertically in a time-sorted table.,event displayed vertically time sorted table
F, The system shall present Events in a graphical format by time.,system shall present event graphical format time
L, All business rules in the Disputes System shall comply with Regulation E and Regulation Z.,business rule dispute system shall comply regulation e regulation z
L," The Disputes application must maintain a comprehensive history of all actions a user takes on a dispute case, ensuring a complete audit trail for future inquiries.",dispute application must maintain comprehensive history action user take dispute case ensuring complete audit trail future inquiry
L, All actions that modify existing dispute cases must be logged in the case history.,action modify existing dispute case must logged case history
F, The Disputes System will be accessible to both internal and external users.,dispute system accessible internal external user
F, Users of the Disputes System must be prevented from accessing disputes outside their assigned cardholder base.,user dispute system must prevented accessing dispute outside assigned cardholder base
F, The Disputes System shall support real-time data entry of dispute cases via a user interface with immediate responses.,dispute system shall support real time data entry dispute case via user interface immediate response
F, The Disputes System must offer multiple access levels for dispute initiation and follow-up actions.,dispute system must offer multiple access level dispute initiation follow action
F, The Disputes System will provide authorized users with view-only access to disputes.,dispute system provide authorized user view access dispute
F, Authorized users must have the ability to update disputes within the system.,authorized user must ability update dispute within system
F, Users must be able to select disputable transactions (based on age) through the Disputes System interface and initiate a dispute on the chosen transaction.,user must able select disputable transaction based age dispute system interface initiate dispute chosen transaction
F, The Disputes System must allow users to initiate disputes involving multiple transactions from a single merchant.,dispute system must allow user initiate dispute involving multiple transaction single merchant
F, The Disputes System shall allow users to create a ticket retrieval request by prompting them to enter all required information. This document is sent to the merchant to validate a transaction.,dispute system shall allow user create ticket retrieval request prompting enter required information document sent merchant validate transaction
F," The system must allow the user to create three types of ticket retrieval requests: (1) Request for original receipt, (2) Request for a copy of the receipt, and (3) Request for a portfolio, which includes documentation such as a rental car contract, in addition to the sales receipt.",system must allow user create three type ticket retrieval request request original receipt request copy receipt request portfolio includes documentation rental car contract addition sale receipt
F," The system shall prevent external users from requesting original receipts, which is a privilege restricted to internal users.",system shall prevent external user requesting original receipt privilege restricted internal user
F," Upon the creation of a ticket retrieval request, the system must provide a confirmation containing the dispute case number, retrieval request type, and the merchant’s response deadline.",upon creation ticket retrieval request system must provide confirmation containing dispute case number retrieval request type merchant response deadline
F," The system shall allow users to create and initiate chargeback requests, prompting them for all necessary information. This results in a chargeback notification sent to the merchant.",system shall allow user create initiate chargeback request prompting necessary information result chargeback notification sent merchant
F," Upon the creation of a chargeback request, the system will provide a confirmation with the dispute case number, the type of chargeback (pending or immediate), and the merchant response deadline.",upon creation chargeback request system provide confirmation dispute case number type chargeback pending immediate merchant response deadline
F, The Disputes System shall prevent duplicate dispute requests from being created 100% of the time.,dispute system shall prevent duplicate dispute request created time
F," The Disputes System shall accurately display a list of possible reason codes for transactions, based on business rules associated with the type of transaction and merchant industry.",dispute system shall accurately display list possible reason code transaction based business rule associated type transaction merchant industry
F, Users will be able to view existing dispute cases in the system.,user able view existing dispute case system
F," The system will provide search functionality, allowing searches by dispute case number, merchant account number, cardholder account number, and issuer number. Results can be filtered by date range, dispute type, case status (open, closed, or all), and dispute reason code.",system provide search functionality allowing search dispute case number merchant account number cardholder account number issuer number result filtered date range dispute type case status open closed dispute reason code
F, The system must present users with a list of dispute cases that match the search criteria. Color-coding will differentiate between open and closed cases.,system must present user list dispute case match search criterion color coding differentiate open closed case
F, The system must allow users to view the history of all activities on a dispute case.,system must allow user view history activity dispute case
F," The Dispute System will allow users to follow up on cases, with the list of available actions filtered by case status and user access level.",dispute system allow user follow case list available action filtered case status user access level
F," The Disputes System will record the name of the user and the date for any case modification or creation. A complete history of case actions, including user and date, must be maintained for auditing purposes.",dispute system record name user date case modification creation complete history case action including user date must maintained auditing purpose
F," The system will generate case activities for non-user-initiated actions (e.g., the disputes aging process), notifying the user upon their next login of any systematic actions taken.",system generate case activity non user initiated action e g dispute aging process notifying user upon next login systematic action taken
F, All letter requests must comply with the formatting guidelines set forth by the Print Letter Utility system.,letter request must comply formatting guideline set forth print letter utility system
F, Dispute cases that have been closed for over six months must be purged from the online disputes database.,dispute case closed six month must purged online dispute database
O, The product must support Internet Explorer 5.5 and later versions.,product must support internet explorer later version
O, The product must support Mozilla Firefox 1.0 and later versions.,product must support mozilla firefox later version
O, The product must integrate with the Choice Parts System for a daily feed of recycled parts data.,product must integrate choice part system daily feed recycled part data
O, The product shall run on existing hardware across all environments.,product shall run existing hardware across environment
O, The product must adhere to the corporate Architecture guidelines.,product must adhere corporate architecture guideline
LF, The product shall comply with corporate User Interface Guidelines.,product shall comply corporate user interface guideline
LF, The product shall follow the corporate color scheme.,product shall follow corporate color scheme
LF, The product’s appearance must maintain a professional look.,product appearance must maintain professional look
PO, The software will be compatible with both Windows and Linux platforms.,software compatible window linux platform
US, The product should be easy to use by Adjusters and Collision Estimators. 95% of them will find the product user-friendly.,product easy use adjuster collision estimator find product user friendly
US," The product should boost productivity for Collision Estimators, with 80% of users agreeing that their productivity has increased after one month of usage.",product boost productivity collision estimator user agreeing productivity increased one month usage
US," Users shall feel satisfied using the product, with 85% of users expressing satisfaction.",user shall feel satisfied using product user expressing satisfaction
US," The product must be easy to learn for Adjusters and Collision Estimators, with training lasting no more than two days.",product must easy learn adjuster collision estimator training lasting two day
US, Users should easily find instructions. Help content will be available for 90% of the system features.,user easily find instruction help content available system feature
PE, Searching for recycled parts must return results within 15 seconds.,searching recycled part must return result within second
PE, Searching for the preferred repair facility shall return results within 8 seconds.,searching preferred repair facility shall return result within second
PE, The recycled parts audit report will be returned to the user within 10 seconds.,recycled part audit report returned user within second
PE, Preferred repair facility ratings shall be saved within 5 seconds.,preferred repair facility rating shall saved within second
A," The product will adhere to the corporate online availability schedule, ensuring 98% availability during scheduled outage periods.",product adhere corporate online availability schedule ensuring availability scheduled outage period
A," The product must achieve 98% uptime, with a failure rate of no more than 2% of the available online time.",product must achieve uptime failure rate available online time
SC," The system will handle up to 1,500 simultaneous users at any given time.",system handle simultaneous user given time
SC," The product shall process an average of 50,000 recycled parts records daily.",product shall process average recycled part record daily
SC," The system must be capable of handling 10,000 concurrent users within two years of its initial launch.",system must capable handling concurrent user within two year initial launch
O," The product must operate efficiently in repair facility environments, despite dirty and noisy conditions.",product must operate efficiently repair facility environment despite dirty noisy condition
O, The system will interface with the Choice Parts System at approximately 1:00 AM daily.,system interface choice part system approximately daily
O, Maintenance for the product will be scheduled during corporate maintenance windows.,maintenance product scheduled corporate maintenance window
O, The product will be supported by the corporate support center.,product supported corporate support center
O, Product installations and upgrades will be managed by the middleware technology team within the established launch schedule.,product installation upgrade managed middleware technology team within established launch schedule
SE, Only authorized adjusters shall request recycled parts audit reports. Non-adjusters will not be permitted to request audit reports.,authorized adjuster shall request recycled part audit report non adjuster permitted request audit report
SE, Only adjusters with supervisor roles shall update preferred repair facility ratings. Non-supervisors will be restricted from accessing the ratings.,adjuster supervisor role shall update preferred repair facility rating non supervisor restricted accessing rating
SE, Only collision estimators will search for recycled parts. Non-collision estimators will not have access to the recycled parts search functionality.,collision estimator search recycled part non collision estimator access recycled part search functionality
SE, The product will ensure that only valid data can be entered into the system. Invalid data will not be accepted.,product ensure valid data entered system invalid data accepted
SE, Insurance companies will not be able to view claim data from other companies.,insurance company able view claim data company
SE, The system will be free from computer viruses.,system free computer virus
SE," The system must prevent malicious attacks, including denial of service.",system must prevent malicious attack including denial service
L, The product will comply with Sarbanes-Oxley regulations.,product comply sarbanes oxley regulation
L, The product shall meet all estimatics laws related to the use of recycled parts.,product shall meet estimatics law related use recycled part
L, The system shall adhere to insurance regulations regarding claims processing.,system shall adhere insurance regulation regarding claim processing
O," The product must support compatibility with most database management systems (DBMS), whether the DBMS is hosted locally or on a networked machine.",product must support compatibility database management system dbms whether dbms hosted locally networked machine
O, The product shall run alongside server software on any operating system that supports the Java runtime.,product shall run alongside server software operating system support java runtime
O," The product will require integration with a database management system (DBMS), which may be hosted on the same machine or on a networked machine.",product require integration database management system dbms may hosted machine networked machine
O," The system must utilize web/application server technology such as Apache web server, Tomcat, or JBoss.",system must utilize web application server technology apache web server tomcat jboss
O," The product shall integrate with database management systems like Oracle, DB2, MySQL, or HSQL.",product shall integrate database management system like oracle db mysql hsql
LF," The product's look and feel must incorporate aspects of the customer’s organization, such as branding and identity, where appropriate.",product look feel must incorporate aspect customer organization branding identity appropriate
LF, The product shall maintain a conservative and professional appearance.,product shall maintain conservative professional appearance
US, The product should encourage users to use it regularly. 80% of users should report regular usage within two weeks post-launch.,product encourage user use regularly user report regular usage within two week post launch
US," The product must be easy to use, allowing 90% of users to successfully reserve a conference room within five minutes of interaction.",product must easy use allowing user successfully reserve conference room within five minute interaction
US, The system will provide feedback to users when necessary. 80% of users should report that the product accurately confirms their actions.,system provide feedback user necessary user report product accurately confirms action
US, Users will be able to choose a preferred language from one of the target market countries.,user able choose preferred language one target market country
US, The product will allow users to customize the start page and view preferences.,product allow user customize start page view preference
US," New employees should be able to use the product within a few minutes. After navigating for 15 minutes, users will be able to successfully set up meetings and reserve conference rooms.",new employee able use product within minute navigating minute user able successfully set meeting reserve conference room
US, The product will use a standard navigation menu that is familiar to most web users.,product use standard navigation menu familiar web user
US, Users will be able to intuitively search for available conference rooms.,user able intuitively search available conference room
US, The product will conform to the Americans with Disabilities Act.,product conform american disability act
PE," The system’s response will be fast enough to maintain the user’s flow of thought. 90% of tasks will be completed within 5 seconds, and 98% within 8 seconds.",system response fast enough maintain user flow thought task completed within second within second
A," Aside from server failures, the product must achieve 99.99% uptime.",aside server failure product must achieve uptime
FT," The system will log any encountered exceptions, which will be transmitted to the company for analysis and resolution.",system log encountered exception transmitted company analysis resolution
SC," The system will support up to 1,000 concurrent requests, increasing to 2,000 by Release 2, especially during peak scheduling times (e.g., early mornings and late afternoons).",system support concurrent request increasing release especially peak scheduling time e g early morning late afternoon
SC," The system will process up to 10,000 transactions per hour within two years of launch, doubling to 20,000 transactions per hour by Release 2.",system process transaction per hour within two year launch doubling transaction per hour release
SC, The product must be designed to operate for at least five years for each customer installation.,product must designed operate least five year customer installation
O, The product will primarily be used in office environments.,product primarily used office environment
O, The product will function properly with at least 80% of all tested HTML browsers (minimum of 8 browsers).,product function properly least tested html browser minimum browser
O, The product will interface with a variety of database management systems and must successfully handle 100% of transactions.,product interface variety database management system must successfully handle transaction
O, The product must integrate with various email servers and successfully send emails.,product must integrate various email server successfully send email
O, The product will be available for distribution via the Internet as a binary or ZIP file.,product available distribution via internet binary zip file
O, The product will also be distributed as a packaged CD.,product also distributed packaged cd
O," The product will be licensed as a one-server, two-to-five servers, or five-or-more servers license.",product licensed one server two five server five server license
US," New users must be added to the system within 10 minutes, with 90% of users successfully logging in within that time.",new user must added system within minute user successfully logging within time
MN," The system will follow Design Patterns and coding best practices, allowing 90% of maintenance developers to integrate new functionality within two working days.",system follow design pattern coding best practice allowing maintenance developer integrate new functionality within two working day
MN," The system must be configurable to support multiple database management systems without requiring code changes, with 80% of users able to complete integration independently.",system must configurable support multiple database management system without requiring code change user able complete integration independently
MN," Maintenance releases will be provided annually, with 80% of customers able to install the update in under five minutes.",maintenance release provided annually customer able install update five minute
US," Registered users will have access to the support site via the Internet, and 70% of them should find a solution to their problems within five minutes of usage.",registered user access support site via internet find solution problem within five minute usage
MN," The customer will easily integrate new building maps with the system throughout its lifecycle, requiring little to no support from the product support team.",customer easily integrate new building map system throughout lifecycle requiring little support product support team
US," The product shall be translatable into foreign languages, and configuration for new emerging markets will take no longer than five days.",product shall translatable foreign language configuration new emerging market take longer five day
O," The system will integrate with multiple database management systems, including Oracle, SQL Server, DB2, MySQL, HSQL, and MS Access.",system integrate multiple database management system including oracle sql server db mysql hsql m access
O, The system must be installable in any operating environment within two days.,system must installable operating environment within two day
SE, The system will ensure that only company employees or approved external users can access it. 100% of logins will be from authorized users.,system ensure company employee approved external user access logins authorized user
SE," Only managers will be able to perform search queries for reservations by user, ensuring 100% of such searches come from management logins.",manager able perform search query reservation user ensuring search come management logins
SE," The system will ensure that the database’s data corresponds exactly to the data entered by users, maintaining integrity for all conference room reservations.",system ensure database data corresponds exactly data entered user maintaining integrity conference room reservation
